status distribution among listed exams: stub=120  complete=8

stub rows: 120
  ap-biology                         national  -
  ap-calculus-ab                     national  -
  ap-psychology                      national  -
  ap-statistics                      national  -
  gmat-focus-edition                 national  -
  gre-general-test                   national  -
  mcat-exam                          national  -
  act-test                           national  -
  sat-exam                           national  -
  ielts-academic                     national  -
  toefl-ibt                          national  -
  ged-test                           national  -
  nclex-pn                           national  -
  nclex-rn                           national  -
  mblex                              national  -
  pance                              national  -
  usmle-step-1                       national  -
  npte                               national  -
  aama-cma                           national  -
  nha-ccma                           national  -
  aapc-cpc                           national  -
  danb-cda                           national  -
  nremt-emt                          national  -
  arrt-radiography                   national  -
  nnaap-cna                          national  -
  ptcb-cpht                          national  -
  bcba-board-certified-behavior-analyst national  -
  praxis-early-childhood-education-5025 national  -
  praxis-elementary-education-content-knowledge-5018 national  -
  praxis-elementary-education-multiple-subjects-5001 national  -
  cda-preschool                      national  -
  praxis-core-combined-5752          national  -
  praxis-mathematics-5165            national  -
  praxis-plt-grades-k-6-5622         national  -
  aipb-certified-bookkeeper          national  -
  nacpb-cpb                          national  -
  sie-exam                           national  -
  series-6                           national  -
  series-63                          national  -
  series-65                          national  -
  series-66                          national  -
  series-7                           national  -
  cfa-level-1                        national  -
  cfa-level-2                        national  -
  cfa-level-3                        national  -
  nmls-safe-mlo-national-test        national  -
  cfp-certification-exam             national  -
  ahip-health-insurance-associate    national  -
  california-bar-exam                national  -
  mpre                               national  -
  uniform-bar-exam                   national  -
  microsoft-az-104                   national  -
  microsoft-ai-901                   national  -
  microsoft-ai-900                   national  RETIRED-SIGNAL
  microsoft-az-204                   national  RETIRED-SIGNAL
  microsoft-az-900                   national  -
  microsoft-az-700                   national  -
  microsoft-az-500                   national  -
  microsoft-az-305                   national  -
  microsoft-az-140                   national  -
  microsoft-az-400                   national  -
  comptia-a-plus                     national  -
  comptia-cysa-plus                  national  -
  comptia-data-plus                  national  -
  comptia-linux-plus                 national  -
  comptia-network-plus               national  -
  comptia-security-plus              national  -
  cisco-ccna                         national  -
  cisco-ccna-cybersecurity           national  -
  cisco-ccnp-cybersecurity           national  -
  cisco-ccst-cybersecurity           national  -
  aws-certified-cloud-practitioner   national  -
  aws-certified-solutions-architect-associate national  -
  aws-certified-solutions-architect-professional national  -
  isaca-cisa                         national  -
  isc2-cissp                         national  -
  certified-kubernetes-administrator national  -
  salesforce-administrator           national  -
  itil-4-foundation                  national  -
  pmi-capm                           national  -
  pmi-acp                            national  -
  prince2-foundation                 national  -
  pmi-pmp                            national  -
  scrum-alliance-certified-scrummaster national  -
  shrm-cp                            national  -
  ase-a8-engine-performance          national  -
  ase-t7-truck-hvac                  national  -
  epa-608-universal                  national  -
  fe-civil                           national  -
  osha-10-general-industry           national  -
  osha-30-general-industry           national  -
  epa-lead-renovator-rrp             national  -
  hazwoper-8-hour-supervisor         national  -
  cdl-air-brakes-knowledge-test      national  -
  cdl-combination-vehicles-knowledge-test national  -
  cdl-general-knowledge-test         national  -
  cdl-hazmat-endorsement-knowledge-test national  -
  cdl-on-road-driving-skills-test    national  -
  cdl-school-bus-endorsement-knowledge-test national  -
  faa-part-107-initial-training-alc-451 national  -
  faa-air-traffic-controller         national  -
  usps-vea-474                       national  -
  corrections-officer-entrance-exam  national  -
  nims-ics-100                       national  -
  pro-board-firefighter-i            national  -
  nypd-police-officer-exam           national  -
  certified-dietary-manager-cfpp     national  -
  cms-introductory-sommelier         national  -
  servsafe-alcohol-advanced          national  -
  servsafe-food-protection-manager   national  -
  tips-alcohol-certification         national  -
  ace-certified-personal-trainer     national  -
  ace-certified-group-fitness-instructor national  -
  afaa-certified-personal-trainer    national  -
  nasm-certified-nutrition-coach     national  -
  nasm-certified-personal-trainer    national  -
  nra-certified-instructor           national  -
  nic-cosmetology-practical          national  RETIRED-SIGNAL
  nic-cosmetology-theory             national  -
  vtne                               national  -

released credentials whose headlines signal retirement:
  microsoft-az-204                   national
